sku,price,subcategory,description,color
C97616-0,2900.00,Wall Kit,"3 Walls, Monocolor + 2 Corner Joints",White
C97616-96,2900.00,Wall Kit,"3 Walls, Monocolor + 2 Corner Joints",Biscuit
C97616-W07,3800.00,Wall Kit,"3 Walls, Monocolor + 2 Corner Joints",VeinCut Dune
C97616-W09,3800.00,Wall Kit,"3 Walls, Monocolor + 2 Corner Joints",VeinCut Sandbar
C97616-W10,3800.00,Wall Kit,"3 Walls, Monocolor + 2 Corner Joints",CrossCut Dune
C97616-T01-0,3800.00,Wall Kit,"4 Walls, Monocolor + 2 Corner Joints",White Brick Tile
C97616-9G9,3500.00,Wall Kit,"3 Walls, Multicolor + 2 Corner Joints",VC-Sandbar / Sandbar
C97616-700,3500.00,Wall Kit,"3 Walls, Multicolor + 2 Corner Joints",VC-Dune / White
C97616-796,3500.00,Wall Kit,"3 Walls, Multicolor + 2 Corner Joints",VC-Dune / Biscuit
C97616-900,3500.00,Wall Kit,"3 Walls, Multicolor + 2 Corner Joints",VC-Sandbar / White
C97616-996,3500.00,Wall Kit,"3 Walls, Multicolor + 2 Corner Joints",VC-Sandbar / Biscuit
97604-0,1375.00,Walls,"60 x 96"" Wall",White
97604-96,1475.00,Walls,"60 x 96"" Wall",Biscuit
97604-W07,1750.00,Walls,"60 x 96"" Wall",VeinCut Dune
97604-W09,1750.00,Walls,"60 x 96"" Wall",VeinCut Sandbar
97604-W10,1800.00,Walls,"60 x 96"" Wall",CrossCut Dune
97604-T01-0,1800.00,Walls,"60 x 96"" Wall",White Brick Tile
97601-0,1000.00,Walls,"36 X 96"" Wall",White
97601-96,1100.00,Walls,"36 X 96"" Wall",Biscuit
97601-W07,1400.00,Walls,"36 X 96"" Wall",VeinCut Dune
97601-W09,1400.00,Walls,"36 X 96"" Wall",VeinCut Sandbar
97601-W10,1600.00,Walls,"36 X 96"" Wall",CrossCut Dune
97601-T01-0,1600.00,Walls,"36 X 96"" Wall",White Brick Tile
97638-0,0.00,Joints & Trim,"96"" Edge Trim ",White
97638-96,0.00,Joints & Trim,"96"" Edge Trim ",Biscuit
97638-G9,0.00,Joints & Trim,"96"" Edge Trim ",Sandbar
97638-NY,0.00,Joints & Trim,"96"" Edge Trim ",Dune
97638-SHP,0.00,Joints & Trim,"96"" Edge Trim ",Bright Polished Silver
97638-BNK,0.00,Joints & Trim,"96"" Edge Trim ",Brushed Nickel
90042-0,100.00,Joints & Trim,"96"" Edge Trim with a 3/8"" return",White
90042-96,100.00,Joints & Trim,"96"" Edge Trim with a 3/8"" return",Biscuit
90042-G9,100.00,Joints & Trim,"96"" Edge Trim with a 3/8"" return",Sandbar
90042-NY,100.00,Joints & Trim,"96"" Edge Trim with a 3/8"" return",Dune
90042-SHP,150.00,Joints & Trim,"96"" Edge Trim with a 3/8"" return",Bright Polished Silver
90042-BNK,150.00,Joints & Trim,"96"" Edge Trim with a 3/8"" return",Brushed Nickel
97635-0,150.00,Joints & Trim,"96"" Inside Corner Joints",White
97635-96,150.00,Joints & Trim,"96"" Inside Corner Joints",Biscuit
97635-G9,150.00,Joints & Trim,"96"" Inside Corner Joints",Sandbar
97635-NY,150.00,Joints & Trim,"96"" Inside Corner Joints",Dune
97635-SHP,150.00,Joints & Trim,"96"" Inside Corner Joints",Bright Polished Silver
97635-BNK,150.00,Joints & Trim,"96"" Inside Corner Joints",Brushed Nickel
90028-0,100.00,Joints & Trim,"96"" Outside Corner Joints",White
90028-96,100.00,Joints & Trim,"96"" Outside Corner Joints",Biscuit
90028-G9,100.00,Joints & Trim,"96"" Outside Corner Joints",Sandbar
90028-NY,100.00,Joints & Trim,"96"" Outside Corner Joints",Dune
90028-SHP,150.00,Joints & Trim,"96"" Outside Corner Joints",Bright Polished Silver
90028-BNK,150.00,Joints & Trim,"96"" Outside Corner Joints",Brushed Nickel
